REPORT_DATE,TOTAL_ASSETS,TOTAL_LIABILITIES,TOTAL_EQUITY,MONETARYFUNDS,资产负债率,TOTAL_OPERATE_INCOME,OPERATE_PROFIT,NETPROFIT,PARENT_NETPROFIT,毛利率,净利率,NETCASH_OPERATE,NETCASH_INVEST,NETCASH_FINANCE,CCE_ADD,ROE
2005-12-31,167710552.1,74173739.89,93536812.21,44511241.2,0.44227234936161186,81567521.81,8026521.74,9930915.25,9985842.85,0.10291779489824865,0.12175085168251969,28629321.54,-11407096.24,10338053.86,27579373.15,0.10617119629546547
2006-12-31,219445164.97,92599281.68,126845883.29,73239624.53,0.4219700246877579,171355275.56,32196124.13,35148768.31,35148768.31,0.19681272683192777,0.20512218369193233,25650367.49,-3885943.64,6963959.48,28728383.33,0.277098218707197
2007-12-31,270488895.35,98503098.02,171985797.33,93232483.41,0.3641668834224842,205810208.08,39218614.66,53557384.56,53498288.34,0.19036005101734896,0.26022705608062857,75684016.52,-34316411.17,-21367902.58,19992858.88,0.31140585671290094
2008-12-31,596726396.08,66328343.68,530398052.4,355000521.18,0.11115369475143462,257552140.84,59603130.34,70071127.05,69872748.86,0.23137145420592503,0.27206579149940174,60881253.75,-56669784.3,257589169.68,261768037.77,0.13211045314539696
2009-12-31,728219506.49,129182922.85,599036583.64,366290731.61,0.17739558155020935,307125152.9,53346165.15,80050733.34,80269858.16,0.17317923682830985,0.2606453186400677,66526996.25,-73510439.95,18275607.99,11290210.43,0.13363246173310125
2010-12-31,865074061.74,203609899.14,661464162.6,306122612.93,0.2353670143923416,436057338.42,84725350.08,101114358.61,101139242.64,0.19253442032234655,0.23188317154889632,89336357.24,-98830926.21,-50648071.08,-60168118.68,0.15286445483690667
2011-12-31,1431203256.88,245418350.66,1185784906.22,659075355.71,0.17147693696212515,557013530.69,96423858.37,132590814.43,132628901.91,0.17553846408161483,0.23803876768622342,117536487.31,-135969042.15,371362622.88,352952742.78,0.11181691867934797
2012-12-31,1853380969.96,370648871.97,1482732097.99,529102013.97,0.19998525828070818,783940683.71,119010198.38,181736779.23,182404875.88,0.14863007417676355,0.23182465587821072,162059478.2,-265717770.31,-26330832.53,-129973341.74,0.1225688575005312
2013-12-31,4327527439.76,866474868.82,3461052570.94,1754690094.48,0.20022400340182564,1253707750.78,215736285.6,278438551.76,278986167.31,0.16968823085575022,0.22209207176614182,296068780.43,-716960146.7,1646501688.62,1225588080.51,0.08044909635232089
2014-12-31,5169895907.66,1268476720.4,3901419187.26,1067008763.68,0.24535827085426531,1775210612.95,288063944.24,388486550.11,379429886.55,0.15510539632389822,0.21883969556965577,420075250.4,-1118095024.62,10340944.36,-687681330.8,0.09957570090868328
2015-12-31,8390341360.23,1867173804.2,6523167556.03,2644743656.07,0.22253847895275816,2500799130.07,297748299.88,436584277.88,425294489.51,0.10342108945901653,0.17457790696999304,515601631.4,-1356601963.03,2418991890.97,1577734892.39,0.0669282636280625
2016-12-31,10413942385.19,3195171089.94,7218771295.25,2540362526.09,0.3068166667105778,3320476689.57,393425814.72,496778331.51,484430415.83,0.07143119600117277,0.14961054630211318,299303977.99,-922508455.72,478609277.92,-144417179.76,0.06881757451394581
2017-12-31,13340336352.99,5387823164.83,7952513188.16,2644108960.38,0.40387461172389516,5444688147.38,539520176.43,479179742.67,434675994.14,0.07029234635305347,0.0880086663734052,362726217.78,-1499557475.31,1256612865.84,119457341.07,0.06025513335626036
2018-12-31,15302583687.64,7090827089.85,8211756597.79,2401052033.25,0.46337450162597765,7917221902.67,627783933.84,617971087.65,542066004.0,0.03576258632393689,0.07805403148313876,1148136361.03,-1919654309.5,353814581.01,-413078165.55,0.07525443311560309
2019-12-31,20100836085.61,8366000082.72,11734836002.89,3828625627.24,0.41620159714197863,10078688919.69,987967531.25,943070469.56,819175858.63,0.044472866714273786,0.09357074884190461,1531468509.95,-2898992395.34,2579903099.41,1213241539.72,0.08036503188691729
2020-12-31,24836091818.68,11864280854.58,12971810964.1,5350027393.05,0.4777032127758726,13024657865.85,1437073080.06,1441784003.24,1363789616.73,0.04828981530248855,0.11069649722011396,2270754855.94,-735288823.4,-95177849.3,1437257416.5,0.11114747256417737
2021-12-31,31394037754.41,14056797008.54,17337240745.87,5869934498.97,0.4477537142085333,18313605605.92,1464435513.55,1610718319.56,1556463894.56,0.043583593163215396,0.08795200433055762,893075431.31,-2579294652.1,2378785786.27,686911857.43,0.09290511351661873
2022-12-31,32859139720.02,16012075909.17,16847063810.85,4346384857.27,0.48729443453488724,18820234052.91,295671190.34,498628077.03,561213020.79,0.007853743146044794,0.026494254833823477,630761247.28,-1703900538.15,-318367676.89,-1371261929.16,0.029597328212698344
2023-12-31,37831122978.15,20099089356.53,17732033621.62,3562635256.73,0.5312845026603774,19650329209.04,429257877.62,613146459.21,657312908.24,-0.009851887336367719,0.031202859386596237,349757814.55,-3978728256.23,2829704423.69,-789944211.7,0.03457846247609263
2024-12-31,41478899803.2,22764027052.88,18714872750.32,3387380425.36,0.5488098083817501,23343093018.69,282382162.82,507033632.21,560162663.16,0.01040090717308139,0.021720927548206054,2495173454.92,-3305274955.35,538594988.73,-272061049.4,0.0270925503461588
