REPORT_DATE,TOTAL_ASSETS,TOTAL_LIABILITIES,TOTAL_EQUITY,MONETARYFUNDS,TOTAL_CURRENT_ASSETS,TOTAL_NONCURRENT_ASSETS,TOTAL_CURRENT_LIAB,TOTAL_NONCURRENT_LIAB,ASSET_LIAB_RATIO,TOTAL_OPERATE_INCOME,TOTAL_OPERATE_COST,OPERATE_PROFIT,TOTAL_PROFIT,NETPROFIT,PARENT_NETPROFIT,GROSS_MARGIN,NET_MARGIN,NETCASH_OPERATE,NETCASH_INVEST,NETCASH_FINANCE,CCE_ADD
2017-12-31,5.3628466124,1.2536608559,4.1091857565,0.5668165236,5.152165285400001,0.210681327,0.9290608559,0.3246,0.23376780029495517,0.6453373483,194558169.13,-123834075.04,-123834075.04,-1.2383407504000001,-106316310.66,-2.014828905262045,-1.918904513526356,-0.6789246801000001,-2.7462884158999996,3.74,0.314786904
2018-12-31,14.2447027429,9.5367699716,4.7079327713,7.231670782799999,13.6012901744,0.6434125685000001,8.5569199716,0.97985,0.6694958921732095,4.8411338398,719813875.59,-199925298.52,-200125298.52,-2.0012529852000003,-180675218.51,-0.4868704303778088,-0.41338518029542376,-2.7145879767000003,0.5988262359000001,8.7345099,6.6187481592
2019-12-31,23.6431048277,8.1023336475,15.5407711802,10.1434072768,20.1607266619,3.4823781657999997,7.1019128975,1.00042075,0.342693301347097,8.073472045,1544632708.2,-691179146.12,-691811193.14,-6.9209947027,-639601351.64,-0.9132198632639225,-0.8572513367388516,-5.058717252799999,-5.5841536321000005,13.572079783900001,2.9291343739999998
2020-12-31,24.9113446716,9.90889865,15.0024460216,9.993994945399999,20.0687274774,4.8426171942,7.895835598300001,2.0130630516999997,0.3977665108257512,7.547709563,1612882023.86,-843992274.72,-843897455.23,-8.4393433744,-812933299.48,-1.1369158555949062,-1.11813303147897,-4.618877673,-0.0937226504,4.2993642536,-0.4136475524
2021-12-31,23.1264343048,12.9832966303,10.1431376745,8.520429721000001,20.3518156995,2.7746186052999997,10.886958523599999,2.0963381066999998,0.5614050337022882,10.7550013873,1824924447.18,-661365346.46,-661276991.4,-6.641125648200001,-632128411.39,-0.6968147017953477,-0.6174918448678348,-5.4679748212,2.7878879617,0.9195032616,-1.7606557616
2022-12-31,34.2466474732,15.3481208029,18.8985266703,14.3233230577,31.313868508400002,2.9327789648,13.0413958625,2.3067249404,0.44816418351346066,5.2638579131,1401623630.46,-916216467.67,-916372138.28,-9.1634778761,-868930037.11,-1.6627307453945952,-1.7408292600936544,-6.2299557272,-8.271979565,17.9895789381,3.4877839426999997
2023-12-31,27.4852123394,13.433113623699999,14.0520987157,12.0689550324,22.8711901558,4.6140221836,10.8884518144,2.5446618093,0.4887396705479934,6.281221181499999,1214474311.19,-654964474.2,-654690410.25,-6.5737832333,-643457156.38,-0.9335003116384051,-1.046577256770018,-2.3974868602,3.5481418823000004,-3.6990419037,-2.5483678031
2024-12-31,19.8224829574,10.9217465704,8.900736387,8.3752229967,17.046009497,2.7764734604,8.3066973076,2.6150492628,0.5509777253370151,3.9768460777,1026844711.89,-713434983.28,-708525376.44,-7.0566766751,-695687560.64,-1.582057972140258,-1.7744404830425857,-3.070517523,1.3922612693,1.0604830808,-0.6177731729
