REPORT_DATE,TOTAL_ASSETS,TOTAL_LIABILITIES,TOTAL_CURRENT_ASSETS,TOTAL_CURRENT_LIAB,MONETARYFUNDS,TOTAL_EQUITY,资产负债率,流动比率,现金占比,TOTAL_OPERATE_INCOME,OPERATE_PROFIT,NETPROFIT,PARENT_NETPROFIT,TOTAL_OPERATE_COST,毛利率,净利率,NETCASH_OPERATE,NETCASH_INVEST,NETCASH_FINANCE,CCE_ADD
2017-12-31,590184615.71,557108047.06,569434054.45,506639279.04,232196206.08,33076568.65,0.9439555559912239,1.123943756451308,0.3934297843407268,7843274.14,-380700413.24,-380700413.24,-380700413.24,400689719.95,-50.087047679044915,-48.53845555371599,-23524307.81,-309669991.05,495937526.25,162743227.39
2018-12-31,3041451580.47,2530809191.33,2953944032.3,2447774472.99,1354374887.7,510642389.14,0.8321056983385908,1.2067876615657755,0.445305424684981,117025238.76,-41331484.21,-41046507.37,-41046507.37,288940221.55,-1.4690419315663186,-0.35074918714056036,-55490474.49,-1221412111.38,2405074781.24,1127178681.62
2019-12-31,4668472281.56,311992772.79,4451241130.78,237975074.96,383308680.43,4356479508.77,0.06682973657621152,18.70465271007136,0.08210580620646095,443938465.82,-1178317192.5,-1179125331.43,-1178985649.53,1757599595.18,-2.959106341311364,-2.656055787488553,-201796040.15,-2468482927.71,1699953608.25,-971066207.27
2020-12-31,7309528671.66,878027439.09,6877292904.12,400574213.32,4875288355.88,6431501232.57,0.12012093782383362,17.168586183120212,0.6669771164291525,458927330.67,-434459791.59,-434509331.16,-434509331.16,1117345418.45,-1.4346892062818708,-0.9467933202532272,-132147987.91,872163218.06,2492648425.63,3232631730.24
2021-12-31,6989146320.88,1008934855.5,6170814692.38,502596291.01,2920845845.45,5980211465.38,0.14435738059823097,12.277875509147403,0.4179116749529201,721045278.97,-824208523.11,-829814477.43,-824949409.11,1823089178.95,-1.5283976362125962,-1.150849331702684,-873140199.94,79267103.58,98996531.6,-695094565.22
2022-12-31,5770821636.13,831100736.1,4255159512.88,542144659.04,2467309705.85,4939720900.03,0.1440177479921817,7.848752988574679,0.42754911889888436,729034623.05,-1324251254.57,-1324736452.18,-1256353139.85,2103401434.08,-1.8851872977996282,-1.817110477740842,-1329861090.04,777137422.12,98600851.71,-453536139.6
2023-12-31,6418036122.33,688507033.01,5647516868.13,463181039.5,3953710408.54,5729529089.32,0.10727690213747891,12.192893029961777,0.6160311866715775,709386584.26,-875806411.37,-878077444.21,-848440140.99,1531513827.09,-1.1589269674272258,-1.2377982100210856,-595535023.01,424659092.09,1656899694.66,1486400702.69
2024-12-31,6717812509.7,1287332938.05,5800316619.44,818135979.38,1986492266.28,5430479571.65,0.19162978070483377,7.0896730685718,0.2957052259811746,1174464377.35,-455745242.97,-456926652.68,-452338791.01,1958518137.96,-0.6675841138571594,-0.38905109553938577,-1617960236.9,-411651958.85,47890762.93,-1981736577.85
