SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,REPORT_DATE,DATE_TYPE_CODE,FISCAL_YEAR,START_DATE,STD_ITEM_CODE,STD_ITEM_NAME,AMOUNT
00131.HK,00131,卓能(集团),10007411,2023-06-30 00:00:00,001,6-30,2022-07-01 00:00:00,001001,除税前溢利(业务利润),82234162.14
00131.HK,00131,卓能(集团),10007411,2023-06-30 00:00:00,001,6-30,2022-07-01 00:00:00,001002,减:利息收入,10631351.38
00131.HK,00131,卓能(集团),10007411,2023-06-30 00:00:00,001,6-30,2022-07-01 00:00:00,001003,加:利息支出,16692447.9
00131.HK,00131,卓能(集团),10007411,2023-06-30 00:00:00,001,6-30,2022-07-01 00:00:00,001004,减:投资收益,2698635.46
00131.HK,00131,卓能(集团),10007411,2023-06-30 00:00:00,001,6-30,2022-07-01 00:00:00,001007,减:重估盈余,120229879.92
00131.HK,00131,卓能(集团),10007411,2023-06-30 00:00:00,001,6-30,2022-07-01 00:00:00,001009,加:折旧及摊销,3315440.08
00131.HK,00131,卓能(集团),10007411,2023-06-30 00:00:00,001,6-30,2022-07-01 00:00:00,001010,减:汇兑收益,-19854839.3
00131.HK,00131,卓能(集团),10007411,2023-06-30 00:00:00,001,6-30,2022-07-01 00:00:00,001999,营运资金变动前经营溢利,-11462977.34
00131.HK,00131,卓能(集团),10007411,2023-06-30 00:00:00,001,6-30,2022-07-01 00:00:00,002002,应收帐款减少,771697.26
00131.HK,00131,卓能(集团),10007411,2023-06-30 00:00:00,001,6-30,2022-07-01 00:00:00,002006,营运资本变动其他项目,-15681957.82
00131.HK,00131,卓能(集团),10007411,2023-06-30 00:00:00,001,6-30,2022-07-01 00:00:00,002008,预收账款、按金及其他应付款增加(减少),16128196.14
00131.HK,00131,卓能(集团),10007411,2023-06-30 00:00:00,001,6-30,2022-07-01 00:00:00,002011,发展中物业(增加)减少,-3975577.76
00131.HK,00131,卓能(集团),10007411,2023-06-30 00:00:00,001,6-30,2022-07-01 00:00:00,002999,经营产生现金,-14220619.52
00131.HK,00131,卓能(集团),10007411,2023-06-30 00:00:00,001,6-30,2022-07-01 00:00:00,003002,已付利息(经营),33561915.96
00131.HK,00131,卓能(集团),10007411,2023-06-30 00:00:00,001,6-30,2022-07-01 00:00:00,003003,已付税项,14951749.66
00131.HK,00131,卓能(集团),10007411,2023-06-30 00:00:00,001,6-30,2022-07-01 00:00:00,003999,经营业务现金净额,-62734285.14
00131.HK,00131,卓能(集团),10007411,2023-06-30 00:00:00,001,6-30,2022-07-01 00:00:00,005001,已收利息(投资),9740718.7
00131.HK,00131,卓能(集团),10007411,2023-06-30 00:00:00,001,6-30,2022-07-01 00:00:00,005002,已收股息(投资),2698635.46
